"area_name","region","year","activities_in_life_are_worthwhile","early_years_development","feelings_of_anxiety","happiness","healthy_eating","high_blood_pressure","household_overcrowding","life_expectancy","life_satisfaction","low_level_crime","mental_health_conditions","overweight_and_obesity_in_adults","overweight_and_obesity_in_children","physical_activity","rough_sleeping","smoking","unemployment","young_ppl_edu_empl_appren"
"Tendring","East of England",2021,7.78,70.92245989,3.02,7.52,50.34454534,22.65508972,4.472300265,80.095,7.63,3.379639369,13.48747453,67.84244959,32.10526316,61.04906431,1.34287671,15.2,4.82678143,90.99933819
"Uttlesford","East of England",2021,7.97,78.03921569,3.02,7.61,59.53129666,17.01546748,2.922437508,83.965,7.9,1.800364385,9.392062621,64.33683329,20.72422259,71.18284003,1.087571236,8.1,3.00430017,96.96169089
"Cheltenham","South West England",2021,7.33,72.15397215,2.72,7.27,52.41638873,10.5724021,2.552739622,81.69,7.58,6.540678886,11.0522161,59.03252101,24.89983974,71.57893005,6.730267696,8.7,2.94453824,94.24379233
"Cotswold","South West England",2021,7.98,75.30120482,2.64,7.77,63.04750057,21.71433331,2.401628686,83.46,7.82,1.695027918,10.09597345,60.74808171,25.86236194,71.42075301,1.09739369,6.6,2.36905699,96.07438017
"Forest of Dean","South West England",2021,7.64,69.57055215,3.35,7.28,60.67748124,10.89431281,4.376546644,82.265,7.21,1.033212027,7.246223204,70.34125705,29.26208651,69.46543562,0,15.3,3.16953179,93.67741935
"Gloucester","South West England",2021,7.63,68.90965732,2.46,7.58,50.4642751,31.29902703,7.046659772,80.37,7.39,7.817499171,26.07731668,72.06430957,32.53132721,68.66495428,5.281504172,19.4,3.2978593,94.35650379
"Stroud","South West England",2021,7.75,73.63481229,3.09,7.57,61.97307338,11.06398683,5.450243561,81.88,7.6,2.150484273,7.471050368,62.21871144,25.3968254,69.66796449,1.645697735,13,3.05964205,96.93094629
"Tewkesbury","South West England",2021,7.5,73.8407699,3,7.56,60.18151165,16.53688132,3.262073799,83.05,7.46,2.163023679,11.20680665,67.58361826,29.62148962,70.61063963,1.047899485,12.7,3.11430064,94.57013575
"Basingstoke and Deane","South East England",2021,7.86,79.64388835,2.9,7.41,60.1391378,33.38464542,2.125544733,82.06,7.61,2.897164716,25.28267157,59.97239335,27.88511776,72.02749167,1.077261171,14.7,3.57268001,94.8852459
"East Hampshire","South East England",2021,7.73,76.09561753,2.95,7.72,59.04944729,15.28611213,3.49835982,83.235,7.4,1.8895654,10.09710941,60.73301454,24.67095147,76.857132,0.792399306,10.1,3.33282329,95.5039884
"Eastleigh","South East England",2021,7.87,77.8313253,2.9,7.71,57.75053287,17.88229203,1.534620782,83.215,7.72,3.534533648,12.49504817,65.90580892,24.75236167,69.3165541,2.19019668,10.1,3.22925669,94.05331511
"Fareham","South East England",2021,7.94,78.46283784,3.07,7.56,58.19363594,21.81679926,1.804600553,83.19,7.83,2.999879661,11.71604469,62.4717288,24.83501553,68.5853145,6.087327055,11.1,3.46405846,95.30364372
"Gosport","South East England",2021,8.03,75.11061947,3,7.23,59.24656402,53.6545914,2.139208073,80.64,7.69,4.428488763,30.5476953,70.96086398,34.0450379,66.43065906,3.650612086,11.1,4.18781119,93.86861314
"Hart","South East England",2021,7.81,80.65915004,3.3,7.22,58.64956351,24.35083801,1.786637592,84.55,7.68,2.899352512,12.85455992,63.1020261,20.81740277,73.79918693,0.99707856,8.7,3.39122017,96.59090909
"Havant","South East England",2021,8.1,71.01238165,3.35,7.6,56.70495487,28.80836579,3.088570687,82.1,7.71,4.487925344,16.84238528,63.898039,30.11319784,69.20214011,2.41021933,11.4,3.44091846,91.96750903
"New Forest","South East England",2021,7.9,74.96924969,2.93,7.62,60.32924709,29.80409254,2.363168934,83.97,7.72,2.966896559,14.84573017,65.46708524,25.20254974,67.79981498,3.404023556,11.4,3.53408591,94.48275862
"Rushmoor","South East England",2021,7.66,72.92020374,3.21,7.52,54.99331017,22.61479657,4.913125349,81.88,7.76,2.892347463,18.72394838,64.66501564,29.06531657,61.60428292,1.998640924,12.9,3.13190467,94.06392694
"Test Valley","South East England",2021,8.05,78.76664331,3.15,7.69,59.87870271,20.86972991,3.896394208,83.125,7.77,2.406360341,13.19085464,62.51971662,25.88740815,70.28426053,2.286759662,9.5,2.9136306,94.46529081
"Winchester","South East England",2021,8.11,78.36990596,3.08,7.69,63.52000803,20.31556634,3.65139351,83.83,7.87,2.517371451,16.99897722,57.34786393,21.84330629,76.36373825,2.345289096,6,2.68769888,95.30744337
"Broxbourne","East of England",2021,7.66,73.17473339,2.3,7.81,52.65549985,13.65918571,5.65880499,81.79,7.46,6.434953685,7.357709914,66.16914535,29.22589816,58.85070091,1.00869495,13.5,4.06298886,95.98930481
