"id","wave","country_name","iso_code","marital_status","num_of_children","rural_urban_living","age_category","education","gender","employment","trust_people","freq_rel_service_use","freq_internet_personal","freq_sports","freq_social_activities","vol_community_service","vol_education_cult_org","vol_social_charities","vol_political_parties","vol_other_organisation","volunteering_frequency","sei_left_out_soc","sei_life_is_complicated","sei_not_recognised","sei_looked_down","sei_feel_close_to_people","sei","mwbi_felt_cheerful","mwbi_felt_calm","mwbi_felt_active","mwbi_felt_fresh","mwbi_life_is_interesting","mwbi_felt_tense","mwbi_felt_lonely","mwbi_felt_downhearted","mwbi","wlbc_too_tired_household","wlbc_fam_responsibilities","wlbc_cannot_focus_on_work","wlbc","hrs_work_first_job","hrs_work_additional_job","work_hrs"
"AT1130106","2011","France","FR","Separated or divorced and not living with partner","2","A city or city suburb","35-49","Upper secondary education (ISCED 3)","Female","Employed (includes on leave)",5,5,2,4,5,4,4,4,4,4,1,2,4,2,4,1,3,2,5,2,5,3,3,4,4,52,2,2,2,3,45,NA,45
"AT1126212","2011","Germany","DE","Never married and not living with partner","0","A city or city suburb","35-49","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",5,4,4,3,5,4,4,4,4,4,1,5,5,5,5,5,1,1,1,1,2,2,6,5,6,92,4,5,5,1,35,40,75
"AT1143514","2011","Germany","DE","Never married and not living with partner","0","A village/small town","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",4,5,1,2,5,4,4,4,4,4,1,4,5,4,3,4,2,2,5,3,5,3,5,6,6,48,3,5,5,1,40,NA,40
"AT1145213","2011","France","FR","Married or living with partner","0","A city or city suburb","25-34","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",5,5,1,2,4,4,4,4,4,4,1,5,4,4,4,2,1.75,3,3,4,4,2,5,5,6,56,2,4,3,2,35,NA,35
"AT1139620","2011","Germany","DE","Never married and not living with partner","0","A medium to large town","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",5,5,1,4,3,4,4,4,4,4,1,5,5,5,5,3,1,2,2,2,2,2,5,6,6,80,2,5,5,2,45,NA,45
"AT1217314","2011","France","FR","Married or living with partner","1","A village/small town","18-24","Upper secondary education (ISCED 3)","Female","Homemaker",4,4,1,1,5,4,4,4,4,4,1,3,2,3,2,3,3.5,4,6,2,5,2,2,6,4,44,NA,NA,NA,NA,NA,NA,NA
"AT1161918","2011","France","FR","Never married and not living with partner","0","A medium to large town","25-34","Tertiary education - first level (ISCED 5)","Female","Unemployed",7,5,1,2,4,4,3,3,4,3,2,4,2,3,4,1,2.75,3,5,3,2,2,5,6,5,60,NA,NA,NA,NA,NA,NA,NA
"AT1148216","2011","Italy","IT","Never married and not living with partner","0","A city or city suburb","35-49","Tertiary education - advanced level (ISCED 6)","Male","Employed (includes on leave)",6,5,5,1,5,4,4,4,4,4,1,5,5,3,4,2,1.75,2,2,2,2,2,6,6,6,80,3,3,4,1,42,NA,42
"AT1027212","2011","Italy","IT","Separated or divorced and not living with partner","0","A city or city suburb","35-49","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",6,5,1,2,3,4,3,3,3,4,2,5,3,5,5,3,1.5,3,2,2,2,1,4,6,6,80,1,4,5,2,50,NA,50
"AT1129013","2011","Italy","IT","Separated or divorced and not living with partner","1","A city or city suburb","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",8,4,1,2,4,4,4,4,4,4,1,5,3,4,5,3,1.75,3,3,3,3,3,5,5,5,60,4,4,4,1,40,NA,40
"AT1205614","2011","Germany","DE","Married or living with partner","0","A city or city suburb","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",5,5,1,2,5,4,4,4,4,4,1,5,5,5,5,1,1,1,1,1,1,1,6,6,6,100,4,4,5,1,30,NA,30
"AT1205210","2011","United Kingdom","GB","Never married and not living with partner","0","A village/small town","18-24","Lower secondary education (ISCED 2)","Female","Employed (includes on leave)",5,5,3,2,2,4,4,4,4,4,1,4,4,2,4,3,2.5,4,4,4,4,5,3,5,4,36,2,2,4,2,40,NA,40
